0038	1	0+(0+(3*8))									
0046	1	0+(0+(4*6))									
0128	1	0+((1+2)*8)									
0136	1	0+((1+3)*6)									
0137	1	0+((1+7)*3)									
0138	1	0+(1*(3*8))									
0139	1	0+(3*(9-1))									
0145	1	0+((1+5)*4)									
0146	1	0+(1*(4*6))									
0147	1	0+(4*(7-1))									
0148	1	0+((4-1)*8)									
0155	1	0+((5*5)-1)									
0156	1	0+((5-1)*6)									
0226	2	0+((2+2)*6)	0+(2*(2*6))								
0234	1	0+(2*(3*4))									
0236	1	0+((2+6)*3)									
0238	1	(0*2)+(3*8)									
0239	1	0+(2*(3+9))									
0244	1	0+((2+4)*4)									
0246	1	(0*2)+(4*6)									
0248	2	0+(2*(4+8))	0+(4*(8-2))								
0257	1	0+(2*(5+7))									
0258	1	0+((5-2)*8)									
0266	2	0+(6*(6-2))	0+(2*(6+6))								
0268	1	0+((6*8)/2)									
0269	1	0+((2*9)+6)									
0288	1	0+((2*8)+8)									
0334	1	0+((3+3)*4)									
0335	1	0+(3*(3+5))									
0337	1	0+(3+(3*7))									
0338	1	(0*3)+(3*8)									
0339	1	0+((3*9)-3)									
0344	1	0+(3*(4+4))									
0346	1	(0*3)+(4*6)									
0348	1	(0*4)+(3*8)									
0349	1	0+(4*(9-3))									
0358	1	(0*5)+(3*8)									
0359	1	0+((3*5)+9)									
0366	1	0+((3*6)+6)									
0367	1	0+(6*(7-3))									
0368	2	0+((6-3)*8)	(0*6)+(3*8)								
0378	1	(0*7)+(3*8)									
0388	1	(0*8)+(3*8)									
0389	2	0+((8*9)/3)	(0*9)+(3*8)								
0445	1	0+(4+(4*5))									
0446	1	(0*4)+(4*6)									
0447	1	0+((4*7)-4)									
0448	1	0+((4*4)+8)									
0456	1	(0*5)+(4*6)									
0466	1	(0*6)+(4*6)									
0467	1	(0*7)+(4*6)									
0468	2	0+(6*(8-4))	(0*8)+(4*6)								
0469	1	(0*9)+(4*6)									
0478	1	0+((7-4)*8)									
0488	1	0+((4*8)-8)									
0566	1	0+((5*6)-6)									
0569	1	0+(6*(9-5))									
0588	1	0+(8*(8-5))									
0689	1	0+(8*(9-6))									
0699	1	0+(6+(9+9))									
0789	1	0+(7+(8+9))									
0888	1	0+(8+(8+8))									
1118	1	(1+(1+1))*8									
1126	2	(1+(1+2))*6	(1+1)*(2*6)								
1127	1	(1+2)*(1+7)									
1128	1	1*((1+2)*8)									
1129	1	(1+2)*(9-1)									
1134	1	(1+1)*(3*4)									
1135	1	(1+3)*(1+5)									
1136	2	1*((1+3)*6)	(1+(1+6))*3								
1137	2	1*((1+7)*3)	(1+3)*(7-1)								
1138	1	(1+(3*8))-1									
1139	2	(1+1)*(3+9)	1*(3*(9-1))								
1144	1	(1+(1+4))*4									
1145	2	((1+4)*5)-1	1*((1+5)*4)								
1146	1	(1+(4*6))-1									
1147	2	1*(4*(7-1))	(1+7)*(4-1)								
1148	3	(1+1)*(4+8)	1*((4-1)*8)	4*(8-(1+1))							
1149	1	(4-1)*(9-1)									
1155	2	1*((5*5)-1)	(1+5)*(5-1)								
